epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,35118.6,0.88006,0.56163,1.17688,0.73998,0.72768,0.73194,0.50424,1.28816,0.70454,1.46599,0.001981,0.001981,0.001981
164,35331.3,0.87182,0.55758,1.17464,0.73932,0.72763,0.73199,0.50488,1.2892,0.70636,1.46711,0.0019315,0.0019315,0.0019315
165,35543.7,0.87033,0.55885,1.16979,0.73896,0.72602,0.73115,0.50391,1.2896,0.7076,1.46754,0.001882,0.001882,0.001882
166,35756.2,0.86845,0.55275,1.17139,0.73975,0.72726,0.73106,0.50421,1.28997,0.70966,1.46796,0.0018325,0.0018325,0.0018325
167,35968.7,0.86416,0.55014,1.16914,0.74098,0.72596,0.73033,0.50407,1.29094,0.71085,1.46928,0.001783,0.001783,0.001783
168,36181.2,0.855,0.54693,1.16492,0.7409,0.728,0.73064,0.50425,1.29153,0.71233,1.47028,0.0017335,0.0017335,0.0017335
169,36393.8,0.85869,0.54721,1.1663,0.74428,0.72977,0.73063,0.50536,1.29167,0.71389,1.47066,0.001684,0.001684,0.001684
170,36606.4,0.85671,0.54937,1.16535,0.7417,0.72952,0.73054,0.5048,1.29194,0.71496,1.47118,0.0016345,0.0016345,0.0016345
171,36819,0.84684,0.54077,1.15919,0.74138,0.72977,0.73126,0.50524,1.2937,0.71569,1.47279,0.001585,0.001585,0.001585
172,37031.4,0.83871,0.53576,1.15403,0.74033,0.72977,0.72995,0.50428,1.29443,0.71639,1.4739,0.0015355,0.0015355,0.0015355
173,37243.9,0.83719,0.53026,1.15217,0.74411,0.72977,0.7296,0.50469,1.29553,0.71775,1.47547,0.001486,0.001486,0.001486
174,37456.4,0.84079,0.53433,1.15192,0.74317,0.73055,0.72963,0.50487,1.29671,0.7202,1.47706,0.0014365,0.0014365,0.0014365
175,37669,0.82758,0.52376,1.14605,0.73875,0.73211,0.72993,0.50399,1.29779,0.72168,1.4789,0.001387,0.001387,0.001387
176,37881.5,0.82751,0.52318,1.14698,0.74479,0.73018,0.72932,0.50415,1.29817,0.72374,1.48012,0.0013375,0.0013375,0.0013375
177,38093.9,0.82669,0.52491,1.14827,0.74177,0.72728,0.73041,0.50483,1.29922,0.72521,1.48163,0.001288,0.001288,0.001288
178,38306.3,0.81738,0.51535,1.14156,0.74089,0.72431,0.7302,0.50441,1.30029,0.72709,1.48281,0.0012385,0.0012385,0.0012385
179,38519.3,0.81824,0.51732,1.14346,0.7411,0.72659,0.73011,0.50478,1.30151,0.729,1.48478,0.001189,0.001189,0.001189
180,38731.5,0.81452,0.51507,1.1398,0.7408,0.72659,0.72999,0.50472,1.30224,0.73107,1.48626,0.0011395,0.0011395,0.0011395
181,38944,0.80131,0.50814,1.13395,0.73253,0.7311,0.72971,0.50416,1.30358,0.73319,1.48823,0.00109,0.00109,0.00109
182,39156.8,0.80766,0.51327,1.13757,0.73184,0.73257,0.72955,0.5039,1.30456,0.73534,1.48993,0.0010405,0.0010405,0.0010405
183,39369.3,0.79712,0.50783,1.1342,0.73044,0.73354,0.72956,0.50384,1.30536,0.73633,1.49173,0.000991,0.000991,0.000991
184,39581.9,0.79506,0.50531,1.13334,0.72716,0.73376,0.72994,0.50421,1.30664,0.73835,1.49355,0.0009415,0.0009415,0.0009415
